Condicao;Tempo_s;Ch1_HbO;Ch1_HbR;Ch2_HbO;Ch2_HbR;Ch3_HbO;Ch3_HbR
D_postura;16.7;0.4089800755233905;-0.22016475885935058;0.21511083956634636;-0.23205979674532062;0.5123696621320105;-0.07509667376106129
D_postura;16.8;0.4074341827408053;-0.22050528397969607;0.211821020337279;-0.23086119483125614;0.5160357346254081;-0.07411858166840712
D_postura;16.9;0.4060497635718363;-0.2209622422696255;0.2085805854194529;-0.22984496332370793;0.5199676922118582;-0.07319223010186852
D_postura;17.0;0.4049030159181761;-0.22153537779850532;0.20547727495087229;-0.22902910494309503;0.5241794962129767;-0.07232010274944785
D_postura;17.1;0.4040693705160929;-0.22222436681543659;0.20259055484256608;-0.2284282111027225;0.5286947745105953;-0.07150341558461919
D_postura;17.2;0.4035038897958619;-0.22302033754791242;0.19992522431404858;-0.22803647318509146;0.53343781866653;-0.07073904348518194
D_postura;17.3;0.4031326334145042;-0.22391726316566865;0.19745662619878543;-0.2278447134337808;0.5383284556294967;-0.07001916064637174
D_postura;17.4;0.4029006109100853;-0.22487780367759055;0.1951607853578506;-0.2278181502678136;0.5432443357417078;-0.06935844055800115
D_postura;17.5;0.40273609436622354;-0.22585392414567895;0.19299653960791593;-0.22791239196334204;0.5480291511869559;-0.06877805713998104
D_postura;17.6;0.40262091416595186;-0.22682858151399654;0.19094037734094785;-0.22810948264771214;0.5526407387574975;-0.06828147722373812
D_postura;17.7;0.40255398928067265;-0.2277835525221706;0.18897942238470655;-0.22839213223250154;0.5570455855439226;-0.06787445099097204
D_postura;17.8;0.40247178140494694;-0.22868873291038275;0.18707097016832228;-0.22873747192089713;0.5611122067120284;-0.06756923167217455
D_postura;17.9;0.40231501381094387;-0.22952093772625984;0.18517815030237075;-0.22912718818684277;0.5647252330833629;-0.06737356353287227
D_postura;18.0;0.4020460314384155;-0.23023218232599355;0.18330346634308312;-0.2295234774380109;0.5677297194181321;-0.06731284803881572
D_postura;18.1;0.4016210683530043;-0.23077243643326253;0.1814520416451669;-0.22988386479283043;0.5699621181436617;-0.06741371096802136
D_postura;18.2;0.4010591688562061;-0.23114219535814548;0.17965171753509543;-0.23019329216189757;0.5714504945408928;-0.06766801432100585
D_postura;18.3;0.40039118844630295;-0.2313523340668362;0.17793677764710303;-0.23043893072658958;0.5722712776144109;-0.06805929961850454
D_postura;18.4;0.3995721453185818;-0.23140878472908452;0.1762813896435329;-0.2306007646174256;0.5724233671778348;-0.068574178931752
D_postura;18.5;0.39855925853942037;-0.23132673455926253;0.17465245167861512;-0.23066461560531723;0.5719337720209291;-0.0691927537958154
D_postura;18.6;0.3973049117046834;-0.23109829226033848;0.17303003069002898;-0.23059918361989004;0.570793289103874;-0.06990683279065808
D_postura;18.7;0.395754965298656;-0.23071035319498442;0.17138672325516602;-0.23037342296479277;0.5689703495444031;-0.07071274257600073
D_postura;18.8;0.39395489314534754;-0.23018225250658472;0.16974176734448085;-0.22998949876271002;0.5665801765966485;-0.07158830971673513
D_postura;18.9;0.39197579314135095;-0.22953664233163354;0.16812792136667257;-0.22945835676995827;0.5637596088881575;-0.07251101419664178
D_postura;19.0;0.389832092071682;-0.22878741952056414;0.16652568844992288;-0.2287948832298409;0.560532700577479;-0.07347225840484439
D_postura;19.1;0.387546838087997;-0.22795396424054806;0.1649154637404505;-0.22802217901391372;0.5569243472046127;-0.07446359884846343
D_postura;19.2;0.38513021114011653;-0.22703896637678134;0.16328986556626054;-0.22715054449213098;0.5529303122473527;-0.07548461142581357
D_postura;19.3;0.38257524686118555;-0.22604215973445974;0.1616311653989039;-0.2261876107447164;0.5485228944909117;-0.07653776481277157
